predict_summary,refer
美国国家侦查办公室(NRO)计划继续与商业卫星成像运营商签订协议，下一轮合同将针对高光谱卫星数据。NRO商业系统项目办公室副主任Jeremy Banik表示，他们正在完成商业高光谱遥感的请求提案(RFP)，预计将在今年年底前发布。高光谱传感器提供的数据能够使分析师检测到人眼通常无法看到的颜色中的现象。NRO已经多年对使用这些数据表示出兴趣。Banik表示，NRO正在以最近获得的商业空间图像合同奖项为动力，包括三个价值数十亿美元的电光图像合同，五个雷达图像研究合同和六个无线电频率数据研究合同。他还表示，NRO将继续与尚未拥有运营星座的公司建立合作关系，以便访问这些公司的建模和模拟。NRO已经推动行业“低门槛进入”，并尽可能地吸引最优秀的行业参与者。,11月3日，美国家侦察局商业系统项目办公室副主任杰里米·班尼克，在卫星网络峰会上表示，美国家侦察局计划继续与商业卫星成像运营商签署协议，并于2022年年底之前发布商业高光谱遥感的征求建议书。高光谱传感器可提供跨越多个光谱波段的数据，使分析人员能够检测到肉眼观察不到的现象，已在商业领域广泛应用。美国家侦察局最近授予3份价值数十亿美元的光电成像合同，5份雷达成像合同和6份射频数据研究合同，并将继续扩大商业合作伙伴关系。一方面，布局多个重点领域，评估或启用新供应商以采用行业中的新技术和新能力，如与尚未拥有运营星座的公司建立合作关系，NRO可介入其建模和模拟过程，当其具备提供真实数据能力时，NRO与供应商一起完成演示；另一方面，降低行业“准入门槛”，将通过签署协议最小化降低政府合同要求，尽可能“广撒网”以吸收行业最好的东西，如拥有美国子公司的外国公司可以参与竞标，但前提是须有美国的许可。
英国通信卫星运营商Inmarsat的子公司Inmarsat Government，将为美国陆军的蓝色力量追踪设备提供物联网卫星连接。Inmarsat Government于2022年11月7日宣布，他们赢得了一份为期五年、价值4.1亿美元的合同延期，该合同由国防信息系统局授予，用于为陆军的蓝色力量追踪网络服务提供物联网卫星连接。Inmarsat Government将使用一种名为ELERA的新网络来连接蓝色力量追踪器，该网络使用现有的L波段卫星来支持物联网服务。这个网络将提供蓝色力量追踪器收发器和卫星地面站之间的连接。蓝色力量追踪设备在数万个陆军平台上显示友军追踪信息。Inmarsat Government在2017年赢得了一份支持蓝色力量追踪网络的合同，该网络自2002年以来一直在运行。蓝色力量追踪器的最新版本增加了网络传输数据的能力，并设计成能更好地抵抗电子战攻击。,国际海事卫星组织（Inmarsat Government）获得美国陆军一份为期五年、价值4.1亿美元的延期合同，为美国陆军战场跟踪设备提供物联网卫星连接。该合同由国防信息系统局授予，用于陆军的蓝色部队跟踪器（Blue Force Tracker）网络服务。Inmarsat Government是英国通信卫星运营商Inmarsat的美国子公司。该公司将使用ELERA新网络连接蓝色部队跟踪器，在收发器和卫星地面站之间提供连接。该网络旨在使用其现有的L波段卫星支持物联网服务，通过蓝色部队跟踪器设备在数以万计的陆军平台上显示友军跟踪信息。2017年该公司赢得了一份支持蓝色部队跟踪器网络的合同，网络自2002年以来持续运行。最新版本的蓝色部队跟踪器增加了传输数据的网络容量，旨在更灵活地抵御电子战攻击。
原文中并未提供具体的军事信息，无法生成中文军事简讯。,"当前中国周边亚太地区共有各类指挥、控制、通信、计算机及情报监视侦察（C4ISR）有人机122架，包括737系列、767系列、E-2等机型，其中日本44架，澳大利亚22架，泰国15架，韩国14架，中国台湾地区11架，菲律宾10架。未来十年（2022~2032）交付新机78架，包括澳大利亚8架，日本27架，韩国22架，台湾地区6架，以及翻新机3架。
中国周边亚太地区有人C4ISR机队状及未来十年交付情况（2022-2032）
系列
型号
执行任务
现役量
未来交付
澳大利亚
雷神澳大利亚
“里尔喷射机”（Learjet）
Learjet 35A（EWTS）
电子战训练
2
澳大利亚皇家空军
737
737 AEW&C（E-7）
预警机（AEW&C）
6
P-8A
海上巡逻（反潜）
12
2
G1159
MC-55A
信号
0
4
P-3
P-3C（信号）
信号
2
型号未定
替代E-7A 
预警机
0
2
印度尼西亚
空军
C212
NC212i
照相侦察
0
4
CN235/C295
C295
C2
1
型号未定
预警机需求
预警机
0
3
日本
日本航空自卫队
767
E-767
预警机
4
C-1
EC-1
电子战训练
1
C-2（KHI）
C-2 SOJ
远距支援干扰（SOJ）
0
4
C-2 SOJ（原型机）
SOJ
0
0+1
RC-2
信号
1
4
E-2/C-2
E-2C
预警机
10
E-2D
预警机
3
10
YS-11
YS-11EA
远距支援干扰
2
YS-11EB
信号
4
日本陆上自卫队
“空中国王”（King Air）
LR-2
光电/红外（EO/IR）
7
1
日本海上自卫队
P-3
EP-3
信号
5
OP-3C
光电/红外
4
UP-3D
电子战训练
3
信号未定
替代OP-3与UP-3
信号
0
新西兰
新西兰皇家空军
737
P-8A
海上巡逻（反潜）
0
4
菲律宾
空军
Aero Commander
RC690
监视
1
赛斯纳206
赛斯纳 210G
监视
1
赛斯纳208
RC-208
光电/红外
2
2
CN235/C295
C295
C2
1
G280
G280
C2
1
陆军
赛斯纳172
赛斯纳172L
监视
4
赛斯纳208
MC-208
光电/红外
0
0+2
新加坡
空军共和国空军
G1159
G550 CAEW预警机
预警机
4
韩国
空军
737
737 预警机（E-7）
预警机
4
猎鹰 2000
猎鹰 2000
信号
2
猎鹰 2000
信号
0
4
霍克 125
霍克 125-800
信号
4
霍克 125-800RA
合成孔径雷达（SAR）
4
型号未定
预警机需求
预警机
0
4
JSTARS需求
地面运动目标指示/ SAR
0
4
远距支援干扰
SOJ
0
4
海军
737
P-8A
海上巡逻（反潜）
0
6
中国台湾地区
空军
C-130
C-130H
信号
1
E-2/C-2
E-2D
预警机
0
6
E-2K
预警机
6
F-5
RF-5E
拍照侦察
5
泰国
泰国皇家空军
阿凡提
Avanti
P-180 阿凡提
拍照侦察
1
钻石 DA42
DA42 MPP
光电/红外
8
萨博 340
萨博 340
预警机
2
萨博 340B
信号
2
泰国皇家陆军
“空中国王”
比奇 B200（ISR）
光电/红外
2
越南
越南人民空军
型号未定
预警机需求
预警机
0
2
共计
122
78+3"
2021年8月31日，多国多角色油罐运输部队（MMU）接收了其第五架空客A330多角色油罐运输（MRTT）飞机。这架编号为MMF5/T-058的飞机由多国MRTT舰队（MMF）交付给了位于荷兰埃因霍温空军基地的主要操作站，这一消息由代表MMF国家管理舰队的北约支援和采购机构（NSPA）宣布。NSPA表示，这次交付是建设一支准备提供战略运输、空中加油和医疗疏散能力的舰队的又一成功步骤。目前，该项目已完成一半，因为全舰队将由九架飞机组成。MMF能力包括北约成员国比利时、捷克共和国、德国、卢森堡、荷兰和挪威，MMU操作部门由这六个参与国的军事人员组成。六架MRTT将从埃因霍温空军基地运行，另外三架将从科隆-瓦恩空军基地的前线操作基地运行。NSPA指出，自2020年6月开始交付飞机以来，MMU目前主要用于训练，并已开始逐步执行操作任务。,2021年8月31日，多国多用途加油运输机部队(MMU)接收了第五架空客 A330 MRTT加油机。北约支持与采购局(NSPA)宣布，该机已交付至荷兰埃因霍温空军基地。第五架飞机的交付，意味着该部队又向着成功建设多国多用途加油运输机队迈进一步。整个机队将由九架飞机组成，将为六个参与国提供战略运输、空中加油和医疗后送服务。（航空工业信息中心 陈珊珊 供稿 廖南杰 审核）
丹麦Terma公司宣布，其SCANTER 6002海军监视雷达已经进行了中期更新，引入了新技术，包括无人机检测。通过将当前的检测能力与人工智能分类相结合，SCANTER 6002雷达现在能够检测、追踪和分类小型遥控或自主无人机。近年来，无人机技术的发展飞速，使得高级易飞无人机几乎对所有人都可用。这些无人机通常配备高分辨率摄像头，长距离无线通信，并具有在视线之外自主飞行的能力。如今，无人机对最先进的海军舰艇构成了增加的风险。SCANTER 6002雷达是全球海军舰艇的首选雷达，用于监视自身和敌方资产的地面和空中。新的更新使SCANTER 6002雷达提供了更多的价值和态势感知，仍然提供所有熟知的能力，包括IMO导航，直升机控制，SAR操作，地面和低空空域监视。新的解决方案适用于所有类型的海军，海岸警卫队和高价值商业船只。SCANTER 6002雷达的低峰值功率使得在开放海域和沿海地区的操作和检测达到最优。SCANTER 6002雷达的优越技术性能，其独特的频率多样性，高灵敏度和小单元尺寸，提供了在恶劣天气条件下检测甚至非常小的目标的能力。这使得它成为检测小型无人机的理想选择。优化的ET2跟踪器可以跟踪所有类型的目标，包括无人机，同时跟踪其他空中和地面目标，不会遗漏任何目标。,丹麦特玛公司（Terma）近日宣布，已采用无人探测等新技术对SCANTER 6002舰载监视雷达进行了中期寿命升级。通过将现有探测能力与人工智能分类技术相结合，SCANTER 6002雷达目前能探测、跟踪和分类小型遥控或自主无人机。特玛公司表示，为了将无人机和其他监测目标分离，SCANTER 6002雷达采用了先进的人工智能分类技术，对超远距离的极小型无人机进行分类。凭借独特的频率分集、高灵敏度和小单元尺寸等优势，SCANTER 6002雷达能在恶劣天气条件下探测到极小型目标，优化后的ET2跟踪器可同时跟踪无人机以及其他空中和海面目标等各种类型目标。
斯坦福大学的工程师们克服了阻碍相变存储器广泛应用的关键难题。相变存储器是一种最有前景的数据存储技术，其速度比传统硬盘快数千倍，但耗电量大。研究人员发现，相变存储器可以既快速又节能。相变存储器设备由锗、锑和碲（GST）三种化学元素的化合物构成，夹在两个金属电极之间。这种存储器通过改变GST材料的电阻来存储数据。研究人员设计了一种可以在低功率下运行的相变存储器单元，可以嵌入在弯曲的智能手机、可穿戴身体传感器和其他电池驱动的移动电子设备常用的柔性塑料基板上。这种新设备降低了编程电流密度，显著提高了能源效率。这种快速、节能的存储器在移动和柔性设备上的应用，可能推动一系列新技术的发展，如实时传感器和生物医学监测器。,近日，美国斯坦福大学研发出能克服相变存储器运行障碍的新方法，为超快、节能计算的实现铺平了道路。长期以来，人们一直希望相变存储器能取代手机和笔记本电脑中的大部分内存，而相变存储器作为最有前途的数据存储技术之一，比传统硬盘驱动器快数千倍，其耗电量很大。为应对这一挑战，研究团队着手设计了一种低功耗相变存储单元，可嵌入可弯曲智能手机、可穿戴传感器和其他电池供电的移动电子产品常用的柔性塑料基板上。研究人员发现，具有低热导率的塑料基板可减少存储单元中的电流，使其高效运行。且设备在柔性基板上将编程电流密度降低了10倍，在刚性硅上的电流密度则降低了100倍，可显著提高能源利用效率。该研究验证了在移动电子设备上安装快速、节能存储器方案的可行性，有望进一步促进物联网技术发展，为研发具有超快计算能力的新一代超级计算机奠定了基础。
2021年8月6日，意大利确认计划购买新的基于Gulfstream G550的多任务飞机，并将在与美国的交易中对其进行改装，以适应空中预警和控制/电子攻击（CAEW/EA）的角色，这一消息由国防部在最新的多年规划文件（2021-23年）中披露。该规划文件在8月5日发布，提供了关于意大利空军（Aeronautica Militare Italiana: AMI）C4ISTAR飞机采购计划的新细节，该计划现在的预算为21.5亿欧元（25亿美元），分为两个阶段。第一阶段已在2021年2月获得部长级批准，将看到基于G550的C4ISTAR解决方案的开发，从2021年到2032年，预计项目价值约为12.23亿欧元，包括运营支持和相关基础设施。该计划涉及一个多任务系统，基于装备有现代传感器的Gulfstream G550航空平台，用于战略信息收集和电子优势，适合集成到C4ISTAR的网络中心架构中，实时共享信息，能够在自主环境中操作，也可以作为复杂的联合力量结构的一部分。,意大利国防部在2021~2023年的多年规划文件（DPP）中透露，将和美国合作改装“湾流”G550多任务飞机，用于早期预警和控制/电子攻击(CAEW/EA)任务。该项目总价值21.5亿欧元，分两个阶段进行。第一阶段将在2021至2032年间进行一系列基于“湾流”G550的指挥、控制、通信、计算机、情报、监视、跟踪、侦察(C4ISTAR)解决方案的开发，费用为12.23亿欧元，包括保障支持和相关基础设施。该项目涉及一个多任务系统，基于配备现代化传感器的“湾流”G550，用于战略信息收集和电子战，适合集成到C4ISTAR的网络中心架构中，以实现实时信息共享。（航空工业信息中心 羽禾 供稿 陈珊珊 审核）
"英国军队近期在索尔兹伯里平原进行了一次多无人机系统(UAS)的演示，展示了多架无人机提供24小时防御周边以及基于AI的任务规划。这次由陆军总部资助的纳米无人机系统(nUAS)项目完成了一次实时多无人机演示，也被称为""无人机集群""，推动了技术的边界。这次活动在监管环境方面也具有开创性，因为这是军事航空局首次为一名操作员操作无人机集群发出此类分类，对于军队来说是一项巨大的成就。演示中使用了两种不同的UAS系统，一种是Atlas，一名操作员通过平板电脑控制四架无人机进行单独的手动任务指派；另一种是Elbit，一名操作员指派六架无人机，创建自主任务。这意味着操作员可以指派多达六架无人机在同一任务或不同任务中完成不同的任务。这些演示为UAS社区提供了分享工作知识和经验的机会，将有助于继续开发英国国防部的UAS能力。","英国陆军资助的纳米无人机系统项目最近在索尔兹伯里平原进行了无人机蜂群技术演示，取得了创新突破。此次演示的突出特点是，一名军事操作员同时控制多架无人机，并且增加了无人机蜂群的规模以及每架无人机能够执行的任务的复杂性，包括部队防护、情报、监视和侦察。该项研究的下一步目标是增加无人机蜂群的精确打击能力，使其在射程内更具杀伤力。
此次演示使用了两种不同的无人机系统：第一种是“阿特拉斯”无人机系统，一名操作员控制4架无人机；第二种是“埃尔比特”无人机系统，一名操作员控制6架无人机执行自主任务。此次演示包括两种场景：第一个是多架无人机组成集群，在特定位置及其周围提供24小时周界防御；第二个是人工智能与系统通信，规划无人机任务，执行监视任务，在必要时通知用户需要关注的点并进行跟踪。
此次演示证明，一名操作员可以操控6架无人机，从而减轻了操作员的负担。未来，英国陆军希望一名操作员能够控制6架、12架、30架、40架或更多无人机，并将地面装备和空中装备作为一个组合系统引入人机编队中。"
英国今日在伦敦科技周AI峰会上公布了未来尖端人工智能（AI）防御技术的新战略。新战略和附带的政策强调“雄心勃勃、安全和负责任”的AI使用，为新的防御AI中心（DAIC）提供支持，该中心将成为推动、启用和创新这些技术的视野中心，以快速和雄心勃勃的方式服务于英国武装部队。在面对全球安全威胁不断演变的情况下，防御AI战略概述了英国如何优先研究、开发和实验，通过新概念和尖端技术革新武装部队的能力，通过有效、高效、可信的途径将最新装备送到战场。此外，防御采购部长Jeremy Quin表示：“未来的冲突可能取决于AI技术的速度和效率，我们对AI的方法必须快速、雄心勃勃和全面。”防御科学和技术实验室（Dstl）已向北爱尔兰公司Kainos授予了一份价值700万英镑的合同，与AI专家Faculty Science Ltd和防御专家Actica合作，提供世界一流的人工智能实验。,英国国防部于当日在伦敦科技周人工智能峰会上发布了《国防人工智能战略》及其相关政策，旨在“雄心勃勃、安全和负责任地”使用人工智能，支持创建新的国防人工智能中心（DAIC），以提供前沿技术枢纽，支撑英军使用和创新相关技术。该战略及相关政策概述了以下内容：一是在国防中使用人工智能的新伦理原则；二是人工智能在国防部加强安全和现代化的地位和应用；三是考虑通过人工智能研究、开发和实验，通过新概念和尖端技术彻底改变武装技术能力，并有效、高效、可信地向战场交付最新装备。该战略将成为英国人工智能战略的关键要素，并加强国防在政府层面通过科学和技术获取战略优势的核心地位。
2021年10月14日，希腊在东爱琴海的军事演习中展示了首款垂直起降无人机“Archytas”的原型。这款无人机是希腊EFA集团和Ucandrone PC公司与希腊海军、希腊航空工业以及塞萨洛尼基、塞萨利和色雷斯等大学研究团队合作的成果。专家表示，“Archytas”采用了美国F-35B战斗机的技术，预计两年半后将投入使用，可应对各种挑战。此外，该无人机将由希腊航空工业(EAB)生产，可用于军事和民防部门的多种任务，如监视、安全和更专业的任务。希腊科学家目前还在测试其他类型的无人机，如正在由塞萨利大学测试的DELAER RX-3战术无人机，以及2019年在塞萨洛尼基国际博览会上展示的RX-4无人机。,希腊在爱琴海东部的一次军事演习中公布了该国第一种垂直起降无人机“阿契塔”（Archytas）的原型机。
