predict_summary,refer
"美国国家侦察局计划与商业卫星成像运营商继续签订协议。下一轮合同将涉及高光谱卫星数据。NRO商业系统计划办公室副主任杰里米·巴尼克于11月3日表示：“我很高兴地说，我们正在完成商业高光谱遥感的RFP（请求提案）。我们期待探索这一新兴的现象学。”他表示，预计将在今年年底之前发布RFP。
高光谱传感器提供跨多个光谱波段的数据，使分析人员能够检测到肉眼通常无法看到的颜色现象。这项技术具有众多商业应用，多年来，NRO一直对使用这些数据表示兴趣。
巴尼克表示，NRO正在利用最近签订的商业空间影像合同的势头，包括三项数十亿美元的电光影像合同、五项雷达影像研究合同和六项射频数据研究合同。
他说：“我们正在扩大我们的商业合作伙伴关系。特别是近年来，这些合作伙伴关系真正改变了我们的运作方式。”
NRO于2018年成立了商业系统计划办公室，以利用蓬勃发展的遥感行业。巴尼克表示：“我们计划继续发布多个重点领域。我们将不断评估或采用行业中出现的新供应商、新技术和新能力。”
与尚未拥有运营星座的公司合作，使NRO能够获得这些公司的建模和仿真数据。“然后一旦他们能够开始提供真实数据，我们就会与供应商一起进行这些演示。”
巴尼克的办公室推动行业的“低准入门槛”。他说：“我们制定了协议，以尽量减少许多典型的政府合同要求。我们希望能够尽可能广泛地吸引行业中的最佳人才。”
例如，具有美国子公司的外国公司可以参与竞标，巴尼克说：“但他们必须在美国设有业务实体。”",11月3日，美国家侦察局商业系统项目办公室副主任杰里米·班尼克，在卫星网络峰会上表示，美国家侦察局计划继续与商业卫星成像运营商签署协议，并于2022年年底之前发布商业高光谱遥感的征求建议书。高光谱传感器可提供跨越多个光谱波段的数据，使分析人员能够检测到肉眼观察不到的现象，已在商业领域广泛应用。美国家侦察局最近授予3份价值数十亿美元的光电成像合同，5份雷达成像合同和6份射频数据研究合同，并将继续扩大商业合作伙伴关系。一方面，布局多个重点领域，评估或启用新供应商以采用行业中的新技术和新能力，如与尚未拥有运营星座的公司建立合作关系，NRO可介入其建模和模拟过程，当其具备提供真实数据能力时，NRO与供应商一起完成演示；另一方面，降低行业“准入门槛”，将通过签署协议最小化降低政府合同要求，尽可能“广撒网”以吸收行业最好的东西，如拥有美国子公司的外国公司可以参与竞标，但前提是须有美国的许可。
英国通信卫星运营商Inmarsat的子公司Inmarsat Government宣布，他们赢得了一项为美国陆军战场追踪设备提供物联网卫星连接的4.1亿美元为期五年的合同延期。该合同由国防信息系统局授予，用于陆军的蓝色力量追踪网络服务。Inmarsat Government将使用一种名为ELERA的新网络连接蓝色力量追踪器，该网络旨在利用其现有的L频段卫星支持物联网服务。该网络将提供蓝色力量追踪器收发器与卫星地面站之间的连接。蓝色力量追踪器设备在数以万计的陆军平台上显示友军追踪信息。Inmarsat Government在2017年赢得了支持蓝色力量追踪网络的先前合同，该网络自2002年开始运营。最新版本的蓝色力量追踪器具有增加的网络容量以传输数据，并且设计更具抗电子战攻击能力。,国际海事卫星组织（Inmarsat Government）获得美国陆军一份为期五年、价值4.1亿美元的延期合同，为美国陆军战场跟踪设备提供物联网卫星连接。该合同由国防信息系统局授予，用于陆军的蓝色部队跟踪器（Blue Force Tracker）网络服务。Inmarsat Government是英国通信卫星运营商Inmarsat的美国子公司。该公司将使用ELERA新网络连接蓝色部队跟踪器，在收发器和卫星地面站之间提供连接。该网络旨在使用其现有的L波段卫星支持物联网服务，通过蓝色部队跟踪器设备在数以万计的陆军平台上显示友军跟踪信息。2017年该公司赢得了一份支持蓝色部队跟踪器网络的合同，网络自2002年以来持续运行。最新版本的蓝色部队跟踪器增加了传输数据的网络容量，旨在更灵活地抵御电子战攻击。
2022年6月10日，军事专家Samuel Archer发表了一篇关于军事简讯的文章。,"当前中国周边亚太地区共有各类指挥、控制、通信、计算机及情报监视侦察（C4ISR）有人机122架，包括737系列、767系列、E-2等机型，其中日本44架，澳大利亚22架，泰国15架，韩国14架，中国台湾地区11架，菲律宾10架。未来十年（2022~2032）交付新机78架，包括澳大利亚8架，日本27架，韩国22架，台湾地区6架，以及翻新机3架。
中国周边亚太地区有人C4ISR机队状及未来十年交付情况（2022-2032）
系列
型号
执行任务
现役量
未来交付
澳大利亚
雷神澳大利亚
“里尔喷射机”（Learjet）
Learjet 35A（EWTS）
电子战训练
2
澳大利亚皇家空军
737
737 AEW&C（E-7）
预警机（AEW&C）
6
P-8A
海上巡逻（反潜）
12
2
G1159
MC-55A
信号
0
4
P-3
P-3C（信号）
信号
2
型号未定
替代E-7A 
预警机
0
2
印度尼西亚
空军
C212
NC212i
照相侦察
0
4
CN235/C295
C295
C2
1
型号未定
预警机需求
预警机
0
3
日本
日本航空自卫队
767
E-767
预警机
4
C-1
EC-1
电子战训练
1
C-2（KHI）
C-2 SOJ
远距支援干扰（SOJ）
0
4
C-2 SOJ（原型机）
SOJ
0
0+1
RC-2
信号
1
4
E-2/C-2
E-2C
预警机
10
E-2D
预警机
3
10
YS-11
YS-11EA
远距支援干扰
2
YS-11EB
信号
4
日本陆上自卫队
“空中国王”（King Air）
LR-2
光电/红外（EO/IR）
7
1
日本海上自卫队
P-3
EP-3
信号
5
OP-3C
光电/红外
4
UP-3D
电子战训练
3
信号未定
替代OP-3与UP-3
信号
0
新西兰
新西兰皇家空军
737
P-8A
海上巡逻（反潜）
0
4
菲律宾
空军
Aero Commander
RC690
监视
1
赛斯纳206
赛斯纳 210G
监视
1
赛斯纳208
RC-208
光电/红外
2
2
CN235/C295
C295
C2
1
G280
G280
C2
1
陆军
赛斯纳172
赛斯纳172L
监视
4
赛斯纳208
MC-208
光电/红外
0
0+2
新加坡
空军共和国空军
G1159
G550 CAEW预警机
预警机
4
韩国
空军
737
737 预警机（E-7）
预警机
4
猎鹰 2000
猎鹰 2000
信号
2
猎鹰 2000
信号
0
4
霍克 125
霍克 125-800
信号
4
霍克 125-800RA
合成孔径雷达（SAR）
4
型号未定
预警机需求
预警机
0
4
JSTARS需求
地面运动目标指示/ SAR
0
4
远距支援干扰
SOJ
0
4
海军
737
P-8A
海上巡逻（反潜）
0
6
中国台湾地区
空军
C-130
C-130H
信号
1
E-2/C-2
E-2D
预警机
0
6
E-2K
预警机
6
F-5
RF-5E
拍照侦察
5
泰国
泰国皇家空军
阿凡提
Avanti
P-180 阿凡提
拍照侦察
1
钻石 DA42
DA42 MPP
光电/红外
8
萨博 340
萨博 340
预警机
2
萨博 340B
信号
2
泰国皇家陆军
“空中国王”
比奇 B200（ISR）
光电/红外
2
越南
越南人民空军
型号未定
预警机需求
预警机
0
2
共计
122
78+3"
"2021年8月31日，多国多用途加油机运输队（MMU）在8月31日收到了第五架空中客车A330多用途加油机运输机（MRTT）。
据北约支持和采购机构（NSPA）宣布，多国MRTT舰队（MMF）的MMF5/T-058飞机已交付至位于荷兰埃因霍温空军基地的该部队主要操作站点。NSPA代表MMF国家管理该舰队。
该机构表示：“第五架飞机的交付代表着建立一支能够为六个参与国提供战略运输、空中加油和医疗撤离能力的舰队的又一成功步骤。随着这一增加，该计划已经完成了一半，因为完整的舰队将由九架飞机组成。”
MMF能力包括北约成员国比利时、捷克共和国、德国、卢森堡、荷兰和挪威，而MMU操作单位由这六个参与国的军事人员组成。六架MRTT将从埃因霍温空军基地运营，另外三架将从科隆-瓦恩空军基地前沿操作基地运营。
正如NSPA所指出的，由于飞机交付始于2020年6月，MMU目前主要将飞机用于培训目的，并已开始逐渐执行操作任务。",2021年8月31日，多国多用途加油运输机部队(MMU)接收了第五架空客 A330 MRTT加油机。北约支持与采购局(NSPA)宣布，该机已交付至荷兰埃因霍温空军基地。第五架飞机的交付，意味着该部队又向着成功建设多国多用途加油运输机队迈进一步。整个机队将由九架飞机组成，将为六个参与国提供战略运输、空中加油和医疗后送服务。（航空工业信息中心 陈珊珊 供稿 廖南杰 审核）
"丹麦雷达制造商Terma宣布，他们的SCANTER 6002海军监视雷达已经进行了中期更新，引入了新技术，包括无人机探测。通过将当前的探测能力与人工智能分类相结合，SCANTER 6002雷达现在能够探测、跟踪和分类小型遥控或自主无人机。

过去几年，无人机技术的发展取得了显著进展，使得先进的易于操作的无人机几乎可以被任何人使用。这些无人机通常配备高分辨率摄像头、远程无线通信以及能够在视线范围之外自主飞行的能力。如今，无人机对于即使是最强大的海军舰艇也构成了增加的风险。

Terma的海军销售高级销售总监Per M. S?rensen表示：“小型、易于操作的无人机无疑将会继续存在，并且会越来越先进，具备更多扩展能力，直接威胁到海军安全。这包括破坏监视、反情报和携带爆炸物等任务。”他继续说道：“到目前为止，很难将无人机与其他小型目标（如鸟类）区分开来。为了区分无人机和其他感兴趣的目标，我们对雷达进行了先进的人工智能分类更新。人工智能分类器能够在令人印象深刻的距离上对最小的无人机进行分类，从而帮助操作员对感兴趣的目标进行分类。”

SCANTER 6002雷达是全球海军舰艇进行水面和空中监视自己和敌对资产的首选雷达。通过新增的功能，SCANTER 6002雷达提供了更多的价值和态势感知，同时仍提供所有众所周知的功能，包括IMO导航、直升机控制、搜救行动、水面和低空域监视。这种新解决方案适用于各种类型的海军、海岸警卫队和高价值商业船只。

由于SCANTER 6002雷达的低峰值功率，其操作和探测在开放海域和沿海地区是最佳的。SCANTER 6002雷达具有独特的频率多样性、高灵敏度和小的单元大小，提供了在恶劣天气条件下甚至能够探测到非常小目标的能力。这使其成为探测小型无人机的理想选择。优化的ET2跟踪器可以同时跟踪包括无人机在内的所有目标类型，不会漏掉任何目标。",丹麦特玛公司（Terma）近日宣布，已采用无人探测等新技术对SCANTER 6002舰载监视雷达进行了中期寿命升级。通过将现有探测能力与人工智能分类技术相结合，SCANTER 6002雷达目前能探测、跟踪和分类小型遥控或自主无人机。特玛公司表示，为了将无人机和其他监测目标分离，SCANTER 6002雷达采用了先进的人工智能分类技术，对超远距离的极小型无人机进行分类。凭借独特的频率分集、高灵敏度和小单元尺寸等优势，SCANTER 6002雷达能在恶劣天气条件下探测到极小型目标，优化后的ET2跟踪器可同时跟踪无人机以及其他空中和海面目标等各种类型目标。
斯坦福大学的工程师们克服了限制相变存储器广泛应用的一个关键障碍。相变存储器是一种最有前景的数据存储技术，比传统硬盘快上千倍，但耗电量较大。研究人员设计了一种低功耗的相变存储器单元，可以嵌入在可弯曲的智能手机、可穿戴体感器和其他电池驱动的移动电子设备上。这种新设备大大提高了能源效率。相变存储器的快速、低功耗特性可以应用于智能家居的实时传感器和生物医学监测器等新技术。此外，相变存储器还可以用于大型数据中心，节约电力消耗。,近日，美国斯坦福大学研发出能克服相变存储器运行障碍的新方法，为超快、节能计算的实现铺平了道路。长期以来，人们一直希望相变存储器能取代手机和笔记本电脑中的大部分内存，而相变存储器作为最有前途的数据存储技术之一，比传统硬盘驱动器快数千倍，其耗电量很大。为应对这一挑战，研究团队着手设计了一种低功耗相变存储单元，可嵌入可弯曲智能手机、可穿戴传感器和其他电池供电的移动电子产品常用的柔性塑料基板上。研究人员发现，具有低热导率的塑料基板可减少存储单元中的电流，使其高效运行。且设备在柔性基板上将编程电流密度降低了10倍，在刚性硅上的电流密度则降低了100倍，可显著提高能源利用效率。该研究验证了在移动电子设备上安装快速、节能存储器方案的可行性，有望进一步促进物联网技术发展，为研发具有超快计算能力的新一代超级计算机奠定了基础。
"2021年8月6日，意大利确认计划通过与美国达成的协议，获得基于Gulfstream G550的多任务飞机，并将其后期改装为符合空中预警和控制/电子攻击（CAEW/EA）角色的机型。国防部在该国最新的2021-2023年多年计划文件（Documento Programmatico Pluriennale: DPP）中透露了这一消息。
DPP于8月5日发布，对于意大利空军（Aeronautica Militare Italiana: AMI）的C4ISTAR飞机采购计划提供了新的细节，该计划最初于2020年10月宣布，现在总预算为21.5亿欧元（25亿美元），分为两个阶段进行。
第一阶段已于2021年2月获得部长法令批准，将在2021年至2032年期间分阶段开发基于G550的C4ISTAR解决方案，估计项目价值约为12.23亿欧元，包括运营支持和相关基础设施。
DPP指出：“该计划涉及一种多任务系统，基于Gulfstream G550飞机平台，配备现代传感器用于战略信息收集和电子优势，适合集成到C4ISTAR的网络中心架构中，实时共享信息，能够在自主环境中和复杂的跨军种结构中运行。”",意大利国防部在2021~2023年的多年规划文件（DPP）中透露，将和美国合作改装“湾流”G550多任务飞机，用于早期预警和控制/电子攻击(CAEW/EA)任务。该项目总价值21.5亿欧元，分两个阶段进行。第一阶段将在2021至2032年间进行一系列基于“湾流”G550的指挥、控制、通信、计算机、情报、监视、跟踪、侦察(C4ISTAR)解决方案的开发，费用为12.23亿欧元，包括保障支持和相关基础设施。该项目涉及一个多任务系统，基于配备现代化传感器的“湾流”G550，用于战略信息收集和电子战，适合集成到C4ISTAR的网络中心架构中，以实现实时信息共享。（航空工业信息中心 羽禾 供稿 陈珊珊 审核）
"英国军队最近在索尔兹伯里平原进行了一次技术和创新突破的演示，展示了多个无人机系统提供24小时的防御范围，并采用基于人工智能的任务规划。这个由陆军总部资助的纳米无人机系统（nUAS）项目完成了一次多无人机演示，也被称为无人机集群，推动了技术边界的拓展。

步兵试验和发展单位（ITDU）指挥官亚瑟·道尔中校解释说：“我们正在与未来能力组（FCG）合作，该组织是国防装备和支持部（DE&S）的一部分。这次活动的突出特点是您可以看到一个军事操作员从一个单一单位同时控制多个无人机。这增加了规模，并使每个无人机能够执行不同的任务。”

他补充道：“这是一个真正的增强器，增加了能力、力量保护、情报、监视和侦察能力。未来的目标是增加精确打击能力；这不仅将有助于我们的目标定位，还将提高我们的打击能力，从而在远程范围内保护我们非常宝贵的部队和人员。”

这次活动在监管环境方面也具有突破性，因为这是军事航空管理局首次为一个由一个操作员操作的集群发放这种类型的分类，这对军队来说是一个巨大的成就，希望为类似的系统进入服役铺平道路。

使用了两种不同的无人机系统；第一种是Atlas，其中一个操作员通过个别手动任务在平板电脑上控制四个无人机。第二个系统是Elbit，其中一个操作员指派六个无人机，创建自主任务。这意味着操作员可以在同一个任务或其他不同任务中指派多达六个无人机。

重点是展示了两个想法；第一个想法是多个无人机提供24小时的周边防御姿态，由多个无人机在特定位置内外提供监视。

第二个场景是通过人工智能与系统通信，规划无人机任务，以便它们可以提供监视并通知用户任何感兴趣的地点，并在必要时进行跟踪。

国防装备和支持部（DE&S）（FCG）的首席无人机工程师多米尼克·费雷特指出：“这对于FCG和军队来说是一个重大的成就。我们现在已经证明了一个人可以驾驶六个无人机的概念，从而减轻了操作员的负担。”

“在未来，我们希望一个操作员能够控制六个、十二个、三十个、四十个或更多的无人机，作为一个更加综合的集群的一部分。随着未来军队项目的进一步发展，我们将开始引入地面元素和空中元素作为一个组合系统进行人机协同。”

这些演示活动为无人机社区提供了分享工作知识和经验的机会。它将有助于继续开发英国国防部的无人机能力。

监视目标和获取（STA）ITDU的飞行中尉大卫·莫里森评论道：“无人机目前处于技术的前沿，这在能力方面是一个真正的里程碑。我们看到的是军","英国陆军资助的纳米无人机系统项目最近在索尔兹伯里平原进行了无人机蜂群技术演示，取得了创新突破。此次演示的突出特点是，一名军事操作员同时控制多架无人机，并且增加了无人机蜂群的规模以及每架无人机能够执行的任务的复杂性，包括部队防护、情报、监视和侦察。该项研究的下一步目标是增加无人机蜂群的精确打击能力，使其在射程内更具杀伤力。
此次演示使用了两种不同的无人机系统：第一种是“阿特拉斯”无人机系统，一名操作员控制4架无人机；第二种是“埃尔比特”无人机系统，一名操作员控制6架无人机执行自主任务。此次演示包括两种场景：第一个是多架无人机组成集群，在特定位置及其周围提供24小时周界防御；第二个是人工智能与系统通信，规划无人机任务，执行监视任务，在必要时通知用户需要关注的点并进行跟踪。
此次演示证明，一名操作员可以操控6架无人机，从而减轻了操作员的负担。未来，英国陆军希望一名操作员能够控制6架、12架、30架、40架或更多无人机，并将地面装备和空中装备作为一个组合系统引入人机编队中。"
英国发布了一项新战略，揭示了未来尖端人工智能（AI）国防技术的计划。该战略和相关的“雄心勃勃、安全可靠”AI使用政策为新成立的国防AI中心（DAIC）提供了支持，该中心将成为一个具有远见的枢纽，推动和创新这些技术在英国武装部队中的应用。面对全球安全形势不断演变的威胁，国防AI战略概述了英国将如何优先研究、开发和实验，通过新概念和尖端技术革新我们武装部队的能力，通过高效、可靠的途径将最新装备输送到战场。其中包括AI驱动的自主作战车辆和补给系统，可以在不危及人员安全的情况下进行补给，或者由智能系统引导的士兵，利用一系列小型无人机捕捉的详细画面。英国政府今天还发布了与数据伦理与创新中心（CDEI）合作制定的“雄心勃勃、安全可靠”AI使用政策，其中包括在国防领域使用AI的新伦理原则。这些原则将确保国防部对技术的最佳和负责任的使用，既保持公众和国防合作伙伴的信心，又追究其他人不负责任行为的责任。国防采购部长杰里米·奎恩表示：“未来的冲突可能取决于AI技术的速度和效能，我们对待AI的方式必须快速、雄心勃勃和全面。”我们的新国防AI中心（DAIC）和AI战略将创建一个专注的枢纽，推动这些技术的发展，与人类判断力合作，保持英国在全球安全和负责任创新方面的领先地位。”此外，国防科学技术实验室（Dstl）已与位于北爱尔兰的Kainos公司签订了一项价值700万英镑的合同，与AI专家Faculty Science Ltd和国防专家Actica合作，开展世界一流的人工智能实验。该合同将在英国支持多达20个高技能数据科学岗位的就业，并开发新的专业角色，以加强安全、伦理和操作上的AI。Dstl的网络与信息系统部门主任保罗·基利博士表示：“Dstl正在进行其20年历史上最雄心勃勃的项目，只有与来自工业和学术界的多样化人才合作，我们才能实现这一目标。”“AI有潜力在国防的各个领域带来重大的好处，从后勤到前线，我很高兴我们与Kainos合作，这是一家全新的供应商，将在国防领域带来专业的专长和经验。”Kainos首席执行官布伦丹·穆尼表示：“我们很高兴被选为Dstl的AI敏捷交付伙伴。我们与国防部一样相信，当数据和AI得到有效和负责任的利用时，将为国防的未来提供无与伦比的机遇。”“与我们的合作伙伴Faculty和Actica一起，我们对与Dstl的这种长期合作关系感到兴奋。”国,英国国防部于当日在伦敦科技周人工智能峰会上发布了《国防人工智能战略》及其相关政策，旨在“雄心勃勃、安全和负责任地”使用人工智能，支持创建新的国防人工智能中心（DAIC），以提供前沿技术枢纽，支撑英军使用和创新相关技术。该战略及相关政策概述了以下内容：一是在国防中使用人工智能的新伦理原则；二是人工智能在国防部加强安全和现代化的地位和应用；三是考虑通过人工智能研究、开发和实验，通过新概念和尖端技术彻底改变武装技术能力，并有效、高效、可信地向战场交付最新装备。该战略将成为英国人工智能战略的关键要素，并加强国防在政府层面通过科学和技术获取战略优势的核心地位。
"2021年10月14日，希腊当局在9月底的东爱琴海军事演习期间展示了希腊首架垂直起降无人机“阿基塔斯”的原型机。
这架无人机名为“阿基塔斯”，于9月24日至10月1日期间在希俄斯岛举行的“帕门尼翁-21”联合军事演习的最后阶段向国防副部长尼古拉斯·查尔达利亚斯展示。
希腊国防部于9月30日发布的照片显示，查尔达利亚斯正在检查这架无人机，该无人机是希腊公司EFA Group和Ucandrone PC与希腊海军、希腊航空工业和塞萨洛尼基、忒撒利亚和色雷斯大学的研究团队合作的成果。
阿基塔斯无人机使用F-35B技术
希腊专家表示，阿基塔斯使用了美国独特的第五代战斗机F-35B所采用的技术，该战斗机可以垂直起降。
这款由希腊设计的固定翼无人机将在两年半后准备就绪，以“应对任何挑战”，负责该项目的塞萨洛尼基亚里斯多德大学机械工程系教授基罗斯·雅金索斯表示。
“我们希望建造一架能够通过尚未用于无人机的系统实现垂直起降的无人机，”他在9月接受AMNA电台采访时说道。
他解释说，该项目的主要目标之一是由希腊航空航天工业（EAB）生产无人机。
根据简氏防务的报道，该无人机使用一台发动机驱动推进器进行水平飞行。垂直起降能力由连接机翼和负V尾翼的纵梁上的四个电动推进器提供。阿基塔斯采用四个支柱形式的起落架，旨在通过产生最小阻力来最大化飞行续航能力。
多功能无人机
这款多功能无人机可由武装部队和民防机构使用。
它可用于监视、安全和更多专业任务。“它将成为‘天空之眼’，其技术特点将使地面军官获得所需的所有信息，”雅金索斯说道。
该项目以古希腊哲学家、数学家、天文学家、政治家和战略家阿基塔斯命名。阿基塔斯是毕达哥拉斯学派的科学家，以被认为是数学力学的创始人以及柏拉图的好朋友而闻名。
希腊科学家已经开始测试其他类型的无人机，例如由忒撒利亚大学正在测试的DELAER RX-3战术无人机。
另一款无人机RX-4的开发也在进行中，该无人机于2019年在第84届塞萨洛尼基国际博览会上展示。",希腊在爱琴海东部的一次军事演习中公布了该国第一种垂直起降无人机“阿契塔”（Archytas）的原型机。
